,Stock,Observation Period,Model Accuracy on Training Data,Model Accuracy on Test Data,True Positives,False Positives,False Negative,True Negative
0,table_aapl20190325model,five_minute_Observation_Outcome,0.6755725190839694,0.6363636363636364,42,20,28,42
1,table_aapl20190325model,thirty_minute_Observation_Outcome,0.8206106870229007,0.7575757575757576,50,14,18,50
2,table_aapl20190325model,sixty_minute_Observation_Outcome,0.8473282442748091,0.8181818181818182,61,15,9,47
3,table_aapl20190326model,five_minute_Observation_Outcome,0.7041984732824428,0.6287878787878788,52,14,35,31
4,table_aapl20190326model,thirty_minute_Observation_Outcome,0.8129770992366412,0.7272727272727273,66,6,30,30
5,table_aapl20190326model,sixty_minute_Observation_Outcome,0.9045801526717557,0.8863636363636364,74,6,9,43
6,table_aapl20200102model,five_minute_Observation_Outcome,0.7150837988826816,0.6296296296296297,32,22,28,53
7,table_aapl20200102model,thirty_minute_Observation_Outcome,0.7653631284916201,0.7925925925925926,29,20,8,78
8,table_aapl20200102model,sixty_minute_Observation_Outcome,0.8249534450651769,0.8962962962962963,33,10,4,88
9,table_aapl20200103model,five_minute_Observation_Outcome,0.704119850187266,0.664179104477612,52,28,17,37
10,table_aapl20200103model,thirty_minute_Observation_Outcome,0.8202247191011236,0.7835820895522388,57,18,11,48
11,table_aapl20200103model,sixty_minute_Observation_Outcome,0.8239700374531835,0.8208955223880597,63,10,14,47
12,table_aapl20200106model,five_minute_Observation_Outcome,0.6978967495219885,0.5801526717557252,37,34,21,39
13,table_aapl20200106model,thirty_minute_Observation_Outcome,0.8546845124282982,0.8473282442748091,46,16,4,65
14,table_aapl20200106model,sixty_minute_Observation_Outcome,0.8986615678776291,0.8625954198473282,52,9,9,61
15,table_aapl20200107model,five_minute_Observation_Outcome,0.6784386617100372,0.6592592592592592,53,19,27,36
16,table_aapl20200107model,thirty_minute_Observation_Outcome,0.7992565055762082,0.762962962962963,78,12,20,25
17,table_aapl20200107model,sixty_minute_Observation_Outcome,0.862453531598513,0.8296296296296296,95,6,17,17
18,table_aapl20200108model,five_minute_Observation_Outcome,0.6977611940298507,0.6296296296296297,30,28,22,55
19,table_aapl20200108model,thirty_minute_Observation_Outcome,0.7705223880597015,0.725925925925926,42,23,14,56
20,table_aapl20200108model,sixty_minute_Observation_Outcome,0.8376865671641791,0.8,42,17,10,66
21,table_aapl20200109model,five_minute_Observation_Outcome,0.6952595936794582,0.5945945945945946,38,21,24,28
22,table_aapl20200109model,thirty_minute_Observation_Outcome,0.7832957110609481,0.7927927927927928,37,17,6,51
23,table_aapl20200109model,sixty_minute_Observation_Outcome,0.9119638826185101,0.8918918918918919,53,4,8,46
